feature,importance_mean,importance_std
target_value,83.88774712337863,1.8765930346154651
station_name,16.908405339462583,0.37557761007319246
unit,6.749295439731943,0.16479225411825096
hour_utc,1.5366461617123677,0.06698500760598239
temp_lag_12,0.8078040256415132,0.017369235563995247
rolling_min_6,0.6413898393372032,0.02707840476730872
temperature_c,0.6110346613284665,0.025935810297114666
temp_lag_6,0.501872125951859,0.023094685500769093
wind_speed_ms,0.49624655278739593,0.04160301437643704
distance_km,0.44563833698164623,0.008818437968517619
dwd_station_id,0.39350506835160093,0.013941608351679511
humidity_roll_mean_12,0.3296698417827882,0.004632851585236154
rolling_mean_3,0.30668161740208283,0.011171726816527052
temp_roll_mean_12,0.28481446507329233,0.01934144175032584
rolling_std_3,0.23462131578598547,0.010257042527562234
temp_roll_mean_6,0.2249671726035838,0.011116564651945108
pressure_hpa,0.20059347846866352,0.015754886227953093
lag_3,0.16051199211723152,0.007034561671444573
lag_6,0.1530245843238584,0.004641597735109695
rolling_max_6,0.1407741274170326,0.013630920106441092
pressure_lag_3,0.1105662068615767,0.004812644176017786
relative_humidity_pct,0.10418000269092778,0.004113563196952084
humidity_roll_mean_6,0.10013677860806798,0.006995755542669562
temp_lag_3,0.09828055034880427,0.004322143281669233
wind_lag_6,0.09111022763296812,0.007751459799729298
pressure_delta_3,0.0791270011184608,0.004473152797981046
pressure_roll_mean_6,0.07690192875231869,0.003677697768944597
pressure_delta_1,0.05748900643401542,0.005798250349953496
temp_roll_mean_3,0.05578751355726221,0.005031938890680061
wind_lag_3,0.05210421462943955,0.0032227542632584515
lag_1,0.051319320532438484,0.0014685975211205084
diff_1,0.050801141786976325,0.0014318306138886535
wind_roll_mean_12,0.04649584980780188,0.0028973876371878376
wind_roll_mean_6,0.04446273989348726,0.0027550689883895523
temp_change_1_3,0.041979185375608276,0.0028807599126903704
pressure_roll_mean_12,0.03811131382150277,0.002927571600278723
diff_3,0.030085614745490964,0.0021632257255448286
temp_lag_1,0.02933008214458612,0.0016504869211768753
humidity_lag_1,0.014670422999956556,0.0008215979325642281
pressure_lag_1,0.00698423956993619,0.0010228002104181518
wind_lag_1,0.0041757246550425675,0.0005499826742870548
station_id,0.0,0.0
month,0.0,0.0
day_of_week,0.0,0.0
precipitation_mm,0.0,0.0
dwd_station_name,0.0,0.0
timeseries_name,0.0,0.0
source,0.0,0.0
precip_lag_6,0.0,0.0
precip_lag_12,0.0,0.0
precip_lag_1,0.0,0.0
precip_lag_3,0.0,0.0
precip_roll_sum_12,0.0,0.0
precip_roll_sum_6,0.0,0.0
precip_roll_mean_6,0.0,0.0
precip_roll_sum_24,0.0,0.0
precip_roll_mean_12,0.0,0.0
precip_accel_12_24,0.0,0.0
