station_name,rows,mae,rmse,mse,r2,mean_residual,median_abs_error,p90_abs_error,max_abs_error
Koblenz UP,58,12.544002603163266,16.252707220606933,264.15049199876876,-0.40937687664075284,0.9906891334667273,9.336043871147169,27.025027183810884,33.13487127330306
RHEINE UNTERSCHLEUSE,59,10.96297905202638,15.438535613785806,238.3483818981327,-4.78609089213914,-8.521698133708993,6.834317717684286,26.54912986114934,41.29172148577996
MAXAU,59,5.732698627623841,15.19407767240601,230.85999631510686,0.15051072805633048,-5.523049071682944,2.755218691144705,6.944366135668919,80.90988763706065
SPEYER,59,5.080030188185593,15.17555055029786,230.2973345046457,-0.12001931011885514,-0.6128938939416105,2.0684253993640027,5.399389562435807,81.56031127973165
KOBLENZ,59,6.457176357481289,13.696510111017522,187.59438922120523,-0.10570119520990096,1.0610440005669288,3.7838530257375993,10.239361938550275,70.22586771763417
MANNHEIM,59,4.315164334652683,13.574473838151077,184.26633998264805,-0.12569300201751088,-0.6868561271355051,1.7564998803053982,4.290564884788637,73.34054354638559
IFFEZHEIM,59,6.847739539587258,13.04113562452579,170.07121837727567,0.12949807793800705,-6.687774840396227,3.927651533378196,10.009285327577716,66.09891459519739
SANKT GOAR,59,5.087443348973411,12.990158433183613,168.74421611921133,-0.05208988513847812,-0.591388937680875,2.455238534797502,6.374252129561503,69.53417490117974
WORMS,59,2.9072444952681398,12.013099854997417,144.31456812613897,-0.0949364031697546,-1.6066071077946031,0.6902520268729688,1.488144518506764,65.26866101711975
DUISBURG-RUHRORT,59,3.9258548139356604,11.852207985522547,140.47483413208442,-0.14827497384944444,-0.40387464744081497,1.7289385201127345,3.9792085570903737,64.00402937301868
WESEL,59,3.0394510543573703,11.789157035659747,138.98422361144569,-0.10579240714997429,-1.4974012766007663,0.8215113028369956,1.9065741597111812,64.48609590386553
DÜSSELDORF,59,4.09206430054739,11.775665384732129,138.66629525317848,-0.18829515220283666,-0.46484560749023923,2.016102254011841,4.0841172773914485,62.66621380166684
KAUB,59,4.848054062235303,11.389500982716928,129.72073263530987,-0.020391360445781714,-1.265484657629571,2.650686930337045,5.745673646672145,60.6596228430995
KÖLN,59,3.1901813673401955,11.325655174409619,128.27046512963136,0.02395043759263682,-2.5741552209670715,1.1814870108709385,2.0159200374429247,61.71669085414828
BONN,59,4.253133568852434,10.874666302647581,118.25836719393881,-0.11757126700719711,-3.8371867336527528,2.293418237350835,5.115120113524554,57.12507192410436
REES,59,3.3495334179263843,10.802473930548503,116.69344302018004,-0.05205738041813657,-1.2657746998117008,1.4829636468862333,2.6015060303244955,58.5179541884756
MAINZ,59,5.801321473047388,10.689225275644592,114.25953699347922,-0.14132322569012756,-5.797604366546433,4.239733359907831,7.28029230530974,53.2667838138326
EMMERICH,59,3.989130878533592,9.565089943287518,91.49094562318002,-0.19317536364834775,-2.4348438728911073,2.2102574936218673,5.379212273014855,49.17644680655633
BINGEN,59,2.9676218026876504,9.504092686436609,90.32777779237783,0.04708062498782539,-2.2858885686460026,1.2602471332138094,2.206312984627846,51.115186670195826
LOBITH,100,2.150335871175947,8.823201470540454,77.84888418974724,-0.059422177143741095,-1.464704310017397,0.7397785880243646,1.8396988261937623,62.62720248496635
KONSTANZ-RHEIN,59,2.0300027406841807,7.50956961162994,56.39363575191585,-0.05126139884766068,-0.9535736737594847,0.4493296267282858,1.6589072882409486,40.69914431747753
Basel-Rheinhalle,222,5.230967244766393,7.203218696139275,51.88635958441039,-0.5040276399239869,1.7190373663696474,3.6583082192330494,12.641797088513295,30.369823300237954
BREISACH,59,3.812531598806623,4.935559713388003,24.359749684418667,-0.5909247401775117,-0.5726084373636584,3.649075938352638,8.124761310838705,12.403546931734496
Koblenz OP,59,2.833474621902996,3.4912354445161258,12.18872492904571,-0.8965202698912982,-0.8819609901120111,2.5243386275045623,6.34563149567424,7.977477735219679
DUISBURG-MEIDERICH SCHLEUSE UW,1201,0.8970207673084304,1.8201053774370823,3.3127835849753837,-2325.303746541166,-0.8000998335938772,0.11707347258001732,3.155112917764061,7.142904471611907
DUISBURG-MEIDERICH SCHLEUSE OW,1201,0.7979937403003279,1.4966072814463092,2.239833354878112,-1737.3257574219185,-0.6835956262457841,0.1726619241345233,2.3653445444566827,6.368290309960624
RHEINWEILER,59,1.0454464734682773,1.3636263628991871,1.8594768575936658,-1.306785082424644,0.2206399249194576,0.7486392278149765,2.6966635025028722,3.800758490538584
