feature,importance_mean,importance_std
target_value,83.18375389872433,1.87608037301919
station_name,16.535618663444467,0.37245361454144327
unit,5.75337398097586,0.146067965136743
hour_utc,1.5846819353581463,0.060893527685285866
temp_lag_12,1.3557866355374113,0.03585038335381536
wind_speed_ms,0.6593599168736517,0.04894171157336449
rolling_min_6,0.6039039579958478,0.04486060816881309
temperature_c,0.5843756579858381,0.022233698079285373
temp_lag_6,0.4756071221575965,0.025223226113124334
distance_km,0.4737745493674209,0.016427948580530847
humidity_roll_mean_12,0.44325132203401285,0.013923485616233074
relative_humidity_pct,0.43436644859709206,0.025600615115481107
pressure_delta_3,0.30382314755996215,0.012982222870640535
rolling_std_3,0.24546966327960412,0.006915266926439573
temp_roll_mean_6,0.20362427453558102,0.007676837882454032
pressure_hpa,0.19786598331378827,0.020226148665278727
rolling_mean_3,0.19113288753374852,0.004889810107901777
pressure_roll_mean_12,0.16847311425052677,0.01850121631865119
temp_roll_mean_12,0.1548348991042293,0.01226519043749032
rolling_max_6,0.12093447135191657,0.005690528511982893
lag_6,0.08864111888316865,0.004598500108472496
lag_1,0.08724895769466792,0.004406187179955591
wind_lag_6,0.08095254508703653,0.008614580177240814
temp_change_1_3,0.06807329115033114,0.003306117454368016
wind_roll_mean_12,0.04368260492997811,0.005257975635194497
pressure_lag_3,0.042936533831788457,0.004363212811415167
lag_3,0.0353599006201736,0.0031585314283058075
humidity_lag_1,0.0029409637874995955,0.002117805594107894
timeseries_name,0.0,0.0
source,0.0,0.0
month,0.0,0.0
precipitation_mm,0.0,0.0
day_of_week,0.0,0.0
precip_lag_6,0.0,0.0
precip_lag_12,0.0,0.0
precip_roll_sum_24,0.0,0.0
precip_roll_sum_12,0.0,0.0
