station_name,cluster_v2,rmse,mae,distance_km_mean,target_value_mean,target_value_std,target_value_range,coverage_days
MANNHEIM,0,16.505709059566104,9.021660340354538,7.859535571120397,162.08219178082192,2.686144617691613,9.0,0.75
KOBLENZ,0,13.62895948739714,6.002074508107148,61.12067786477541,82.76712328767124,2.894057839134484,15.0,0.75
SANKT GOAR,0,13.070809395110803,4.97959326527416,40.8196303638594,174.87671232876713,4.284809102059977,13.0,0.75
WORMS,0,12.094840239313305,3.054456548043789,19.104993880818512,72.84931506849315,1.3710421105121264,4.0,0.75
WESEL,0,11.77172927242596,3.1776300977562086,94.9878281147475,152.05479452054794,1.0259197900055848,5.0,0.75
DUISBURG-RUHRORT,0,11.70737269736017,3.7264231099945615,72.20610236411812,212.4520547945205,2.533339341497328,8.0,0.75
KÖLN,0,11.621491508457938,3.6453884177798352,15.822967497533536,131.2054794520548,2.852673717125303,9.0,0.75
MAXAU,1,15.265109105946198,5.590816014881136,7.594683396931383,406.2602739726028,3.0687827719919465,10.0,0.75
SPEYER,1,14.971562775036658,4.104734708828588,21.788737782312083,252.15068493150685,5.6091968945768444,19.0,0.75
IFFEZHEIM,1,12.718793660092189,6.775947902815481,20.54583284125707,153.24657534246575,8.650274276187561,30.0,0.75
RHEINE UNTERSCHLEUSE,2,15.438535613785806,10.96297905202638,159.43850361217957,197.4931506849315,11.073144800310583,64.0,0.75
Koblenz UP,3,12.664250256904287,9.85633145142232,62.84633153967505,48.61111111111112,8.489522217441815,48.0,0.7395833333333334
