station_name,timeseries_name_<lambda>,unit_<lambda>,source_<lambda>,timestamp_utc_min,timestamp_utc_max,timestamp_utc_count,distance_km_mean,distance_km_median,target_value_mean,target_value_std,target_value_min,target_value_max,target_value_median,target_t_plus_24h_mean,target_t_plus_24h_std,target_t_plus_24h_min,target_t_plus_24h_max,target_t_plus_24h_median,temperature_c_mean,temperature_c_std,precipitation_mm_mean,precipitation_mm_sum,wind_speed_ms_mean,wind_speed_ms_std,pressure_hpa_mean,pressure_hpa_std,relative_humidity_pct_mean,relative_humidity_pct_std,rolling_std_3_mean,rolling_std_3_max,rolling_max_6_mean,rolling_min_6_mean,coverage_days,target_value_range,target_t_plus_24h_range,corridor_position
BINGEN,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,21.836717818296247,21.836717818296247,104.0,2.4551533104426775,100.0,108.0,105.0,103.58904109589041,8.825209497731102,52.0,108.0,105.0,23.183561643835617,3.3609693417652826,0.0,0.0,,,,,60.534246575342465,14.422284254064023,0.3409473157977028,1.1547005383792515,104.30555555555556,103.22222222222223,0.75,8.0,56.0,21.836717818296247
BONN,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,14.662203906925853,14.662203906925853,139.24657534246575,1.977518239259938,136.0,142.0,139.0,136.75342465753425,9.587000489548632,81.0,142.0,137.0,20.427397260273974,4.447822821772613,0.0,0.0,1.4986301369863015,0.568988661936669,1011.5315068493151,1.307231671247943,69.8082191780822,15.28403082218548,0.3655749026359271,1.0,139.875,138.77777777777777,0.75,6.0,61.0,14.662203906925853
BREISACH,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,19.58801673434443,19.58801673434443,189.23287671232876,3.186431947183803,183.0,195.0,189.0,190.36986301369862,3.7286683999156693,180.0,196.0,191.0,24.373972602739727,3.8402845452033696,0.0,0.0,1.6849315068493151,0.9570892262010883,993.1753424657535,1.4782479139092732,69.73972602739725,16.467162102246824,1.576746186446337,3.5118845842842465,191.65277777777777,186.84722222222223,0.75,12.0,16.0,19.58801673434443
Basel-Rheinhalle,W,cm,pegelonline,2026-06-29 21:05:00+00:00,2026-06-30 19:05:00+00:00,265,11.6635041267604,11.6635041267604,520.777358490566,4.4830759829303375,511.0,535.0,520.0,520.577358490566,5.5434455396029,483.0,532.0,520.0,25.808301886792453,4.414362636245089,0.0,0.0,,,,,60.87169811320755,14.816764376043295,0.9410771025513458,4.163331998932265,522.6515151515151,519.2007575757576,0.9166666666666666,24.0,49.0,11.6635041267604
DUISBURG-MEIDERICH SCHLEUSE OW,W,m+NN,pegelonline,2026-06-29 21:01:00+00:00,2026-06-30 20:37:00+00:00,1417,70.50874047078631,70.50874047078631,24.980825688073395,0.0345627851788312,24.91,25.04,24.99,24.980211714890615,0.03449736423991179,24.91,25.04,24.98,20.955257586450248,4.0565810493585355,0.0,0.0,2.162455892731122,1.438529207460038,1010.8916019760056,1.6969751386294136,68.6591390261115,13.605840703006995,0.0006904731590462411,0.0070710678118640685,24.982302259887007,24.979470338983052,0.9833333333333333,0.129999999999999,0.129999999999999,70.50874047078631
DUISBURG-MEIDERICH SCHLEUSE UW,W,m+NN,pegelonline,2026-06-29 21:01:00+00:00,2026-06-30 20:37:00+00:00,1417,70.4931875007345,70.4931875007345,18.208673253352153,0.03099008539626371,18.16,18.27,18.22,18.209068454481297,0.03896951546444587,17.59,18.27,18.22,20.955257586450248,4.056581049358504,0.0,0.0,2.162455892731122,1.4385292074600375,1010.8916019760056,1.6969751386291148,68.6591390261115,13.605840703006939,0.0006854759379778148,0.00577350269189716,18.209802259887006,18.207111581920906,0.9833333333333333,0.10999999999999943,0.6799999999999997,70.4931875007345
DUISBURG-RUHRORT,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,72.20610236411812,72.20610236411812,212.45205479452054,2.533339341497328,208.0,216.0,213.0,213.45205479452054,10.055458848984594,155.0,219.0,215.0,20.427397260273974,4.447822821772611,0.0,0.0,1.4986301369863015,0.5689886619366691,1011.5315068493151,1.307231671247866,69.8082191780822,15.28403082218549,0.4428854046291678,1.1547005383792515,213.0,211.55555555555554,0.75,8.0,64.0,72.20610236411812
DÜSSELDORF,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,48.43116490203402,48.43116490203402,81.3013698630137,1.9978108262326435,78.0,86.0,81.0,82.31506849315069,9.851503991676667,27.0,89.0,83.0,20.427397260273974,4.447822821772615,0.0,0.0,1.4986301369863015,0.568988661936669,1011.5315068493151,1.3072316712480103,69.8082191780822,15.284030822185493,0.5674670871872064,2.0,81.86111111111111,80.15277777777777,0.75,8.0,62.0,48.43116490203402
EMMERICH,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,124.57425472887547,124.57425472887549,53.68493150684932,0.8799733633716005,51.0,55.0,54.0,51.986301369863014,7.969548207404041,5.0,55.0,53.0,20.427397260273974,4.447822821772613,0.0,0.0,1.4986301369863015,0.568988661936669,1011.5315068493151,1.3072316712478511,69.8082191780822,15.284030822185485,0.5766066447990174,1.7320508075688772,54.44444444444444,53.013888888888886,0.75,4.0,50.0,124.57425472887547
IFFEZHEIM,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,20.54583284125707,20.54583284125707,153.24657534246575,8.650274276187561,138.0,168.0,152.0,142.24657534246575,14.545695069444834,68.0,162.0,144.0,24.62054794520548,3.9129400321990584,0.0,0.0,2.4465753424657533,0.7518647543461565,1007.4890410958903,1.5380869831488084,65.10958904109589,13.700731573974448,1.4529985016376439,3.0550504633038935,156.48611111111111,151.93055555555554,0.75,30.0,94.0,20.54583284125707
KAUB,W,cm,pegelonline,2026-06-29 21:15:00+00:00,2026-06-30 15:15:00+00:00,73,34.12728975667979,34.12728975667979,85.97260273972603,3.7931685770449604,81.0,92.0,86.0,86.56164383561644,10.278059562552897,26.0,92.0,89.0,23.183561643835617,3.3609693417652857,0.0,0.0,,,,,60.534246575342465,14.422284254064023,0.48315157421504473,1.5275252316519468,86.27777777777777,84.88888888888889,0.75,11.0,66.0,34.12728975667979
